module,topic,text,answer,distractors
logic,Number Series,"Find the next number in the series: 4, 11, 18, 25, ?",32,"[""31"", ""39"", ""34""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
quant,Profit & Loss,An article costs Rs. 740. It is sold at 50% profit. What is the selling price?,Rs. 1110,"[""Rs. 1130"", ""Rs. 1184"", ""Rs. 1090""]"
quant,Time Speed Distance,A train travels at 68 km/h for 5 hours. What distance does it cover?,340 km,"[""320 km"", ""350 km"", ""408 km""]"
quant,Profit & Loss,An article costs Rs. 520. It is sold at 10% profit. What is the selling price?,Rs. 572,"[""Rs. 552"", ""Rs. 592"", ""Rs. 624""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""12 km"", ""14 km"", ""9 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""14 km"", ""17 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""15 km"", ""17 km"", ""12 km""]"
quant,Profit & Loss,An article costs Rs. 760. It is sold at 50% profit. What is the selling price?,Rs. 1140,"[""Rs. 1160"", ""Rs. 1120"", ""Rs. 1216""]"
quant,Time Speed Distance,A train travels at 78 km/h for 8 hours. What distance does it cover?,624 km,"[""702 km"", ""634 km"", ""604 km""]"
quant,Profit & Loss,An article costs Rs. 930. It is sold at 20% profit. What is the selling price?,Rs. 1116,"[""Rs. 1136"", ""Rs. 1209"", ""Rs. 1096""]"
quant,Time Speed Distance,A train travels at 41 km/h for 2 hours. What distance does it cover?,82 km,"[""62 km"", ""123 km"", ""92 km""]"
quant,Profit & Loss,An article costs Rs. 570. It is sold at 10% profit. What is the selling price?,Rs. 627,"[""Rs. 607"", ""Rs. 647"", ""Rs. 684""]"
