module,topic,text,answer,distractors
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: LUCID,Ambiguous,"[""Lazy"", ""Aggravate"", ""Idealistic""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: CANDID,Frank,"[""Persistent"", ""Outdated"", ""Clear""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: ABUNDANT,Plentiful,"[""Practical"", ""Industrious"", ""Frank""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: VINDICATE,Condemn,"[""Yielding"", ""Lazy"", ""Aggravate""]"
english,Synonyms,Choose the synonym for: OBSOLETE,Outdated,"[""Plentiful"", ""Justify"", ""Alleviate""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Synonyms,Choose the synonym for: ZEALOUS,Enthusiastic,"[""Outdated"", ""Persistent"", ""Plentiful""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Antonyms,Choose the antonym for: ZEALOUS,Apathetic,"[""Aggravate"", ""Condemn"", ""Yielding""]"
english,Synonyms,Choose the synonym for: PRAGMATIC,Practical,"[""Alleviate"", ""Outdated"", ""Enthusiastic""]"
english,Synonyms,Choose the synonym for: MITIGATE,Alleviate,"[""Enthusiastic"", ""Justify"", ""Industrious""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: PRAGMATIC,Practical,"[""Outdated"", ""Justify"", ""Industrious""]"
english,Antonyms,Choose the antonym for: TENACIOUS,Yielding,"[""Apathetic"", ""Ambiguous"", ""Lazy""]"
english,Synonyms,Choose the synonym for: ABUNDANT,Plentiful,"[""Practical"", ""Enthusiastic"", ""Persistent""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Lazy"", ""Condemn"", ""Deceptive""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: ABUNDANT,Plentiful,"[""Frank"", ""Industrious"", ""Justify""]"
english,Synonyms,Choose the synonym for: ZEALOUS,Enthusiastic,"[""Persistent"", ""Plentiful"", ""Practical""]"
english,Synonyms,Choose the synonym for: ZEALOUS,Enthusiastic,"[""Frank"", ""Clear"", ""Plentiful""]"
english,Synonyms,Choose the synonym for: VINDICATE,Justify,"[""Persistent"", ""Alleviate"", ""Industrious""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: MITIGATE,Aggravate,"[""Lazy"", ""Ambiguous"", ""Deceptive""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: CANDID,Frank,"[""Outdated"", ""Persistent"", ""Plentiful""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Lazy"", ""Deceptive"", ""Aggravate""]"
english,Antonyms,Choose the antonym for: DILIGENT,Lazy,"[""Apathetic"", ""Idealistic"", ""Yielding""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Deceptive"", ""Condemn"", ""Ambiguous""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: ABUNDANT,Plentiful,"[""Alleviate"", ""Frank"", ""Clear""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Deceptive"", ""Condemn"", ""Current""]"
english,Synonyms,Choose the synonym for: CANDID,Frank,"[""Clear"", ""Alleviate"", ""Practical""]"
english,Antonyms,Choose the antonym for: TENACIOUS,Yielding,"[""Deceptive"", ""Aggravate"", ""Idealistic""]"
english,Antonyms,Choose the antonym for: LUCID,Ambiguous,"[""Lazy"", ""Scarce"", ""Deceptive""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Ambiguous"", ""Deceptive"", ""Scarce""]"
english,Synonyms,Choose the synonym for: OBSOLETE,Outdated,"[""Justify"", ""Frank"", ""Clear""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Antonyms,Choose the antonym for: OBSOLETE,Current,"[""Yielding"", ""Lazy"", ""Idealistic""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Synonyms,Choose the synonym for: PRAGMATIC,Practical,"[""Alleviate"", ""Frank"", ""Plentiful""]"
english,Antonyms,Choose the antonym for: DILIGENT,Lazy,"[""Deceptive"", ""Condemn"", ""Aggravate""]"
english,Synonyms,Choose the synonym for: VINDICATE,Justify,"[""Outdated"", ""Plentiful"", ""Industrious""]"
english,Antonyms,Choose the antonym for: CANDID,Deceptive,"[""Current"", ""Lazy"", ""Scarce""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: DILIGENT,Lazy,"[""Scarce"", ""Yielding"", ""Idealistic""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: PRAGMATIC,Practical,"[""Frank"", ""Enthusiastic"", ""Outdated""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Synonyms,Choose the synonym for: MITIGATE,Alleviate,"[""Plentiful"", ""Clear"", ""Persistent""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Current"", ""Scarce"", ""Lazy""]"
english,Antonyms,Choose the antonym for: LUCID,Ambiguous,"[""Current"", ""Aggravate"", ""Apathetic""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: LUCID,Clear,"[""Frank"", ""Persistent"", ""Justify""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Idealistic"", ""Lazy"", ""Condemn""]"
english,Antonyms,Choose the antonym for: LUCID,Ambiguous,"[""Condemn"", ""Current"", ""Idealistic""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: TENACIOUS,Persistent,"[""Practical"", ""Justify"", ""Industrious""]"
english,Antonyms,Choose the antonym for: ZEALOUS,Apathetic,"[""Scarce"", ""Ambiguous"", ""Lazy""]"
english,Synonyms,Choose the synonym for: CANDID,Frank,"[""Alleviate"", ""Clear"", ""Outdated""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Antonyms,Choose the antonym for: LUCID,Ambiguous,"[""Aggravate"", ""Apathetic"", ""Deceptive""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Synonyms,Choose the synonym for: OBSOLETE,Outdated,"[""Clear"", ""Practical"", ""Justify""]"
english,Antonyms,Choose the antonym for: CANDID,Deceptive,"[""Idealistic"", ""Lazy"", ""Condemn""]"
english,Antonyms,Choose the antonym for: DILIGENT,Lazy,"[""Aggravate"", ""Idealistic"", ""Apathetic""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Current"", ""Yielding"", ""Idealistic""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Ambiguous"", ""Deceptive"", ""Aggravate""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: TENACIOUS,Persistent,"[""Justify"", ""Industrious"", ""Clear""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Current"", ""Deceptive"", ""Yielding""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Apathetic"", ""Lazy"", ""Aggravate""]"
english,Antonyms,Choose the antonym for: DILIGENT,Lazy,"[""Idealistic"", ""Apathetic"", ""Aggravate""]"
english,Antonyms,Choose the antonym for: LUCID,Ambiguous,"[""Idealistic"", ""Scarce"", ""Apathetic""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: TENACIOUS,Persistent,"[""Enthusiastic"", ""Industrious"", ""Frank""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Current"", ""Aggravate"", ""Ambiguous""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: OBSOLETE,Outdated,"[""Plentiful"", ""Justify"", ""Alleviate""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Aggravate"", ""Yielding"", ""Lazy""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: ZEALOUS,Apathetic,"[""Ambiguous"", ""Yielding"", ""Aggravate""]"
english,Antonyms,Choose the antonym for: MITIGATE,Aggravate,"[""Lazy"", ""Deceptive"", ""Apathetic""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: MITIGATE,Alleviate,"[""Persistent"", ""Practical"", ""Plentiful""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Lazy"", ""Current"", ""Yielding""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: ABUNDANT,Plentiful,"[""Justify"", ""Frank"", ""Industrious""]"
english,Synonyms,Choose the synonym for: CANDID,Frank,"[""Outdated"", ""Practical"", ""Clear""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: TENACIOUS,Yielding,"[""Lazy"", ""Current"", ""Scarce""]"
english,Antonyms,Choose the antonym for: PRAGMATIC,Idealistic,"[""Yielding"", ""Current"", ""Deceptive""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: VINDICATE,Condemn,"[""Apathetic"", ""Deceptive"", ""Idealistic""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: DILIGENT,Industrious,"[""Clear"", ""Enthusiastic"", ""Plentiful""]"
english,Antonyms,Choose the antonym for: VINDICATE,Condemn,"[""Aggravate"", ""Apathetic"", ""Ambiguous""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: TENACIOUS,Persistent,"[""Alleviate"", ""Enthusiastic"", ""Frank""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: VINDICATE,Justify,"[""Practical"", ""Clear"", ""Industrious""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Synonyms,Choose the synonym for: ZEALOUS,Enthusiastic,"[""Plentiful"", ""Alleviate"", ""Justify""]"
english,Grammar,Improve the sentence: He is senior than me in college.,senior to me,"[""senior from me"", ""more senior than me"", ""No improvement""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
english,Antonyms,Choose the antonym for: ABUNDANT,Scarce,"[""Apathetic"", ""Condemn"", ""Deceptive""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) Neither of the two men / (B) were very strong / (C) so they failed. / (D) No error.,(B) were very strong,"[""(A)"", ""(C)"", ""(D) No error""]"
english,Grammar,Find the error: (A) I have visited / (B) Niagara Falls / (C) last weekend. / (D) No error.,(A) I have visited,"[""(B)"", ""(C)"", ""(D) No error""]"
